coreid,identifier,catalogNumber,accessURI
112c5043-4dd8-4b94-9d32-b37144a6825a,a69c6a1e-f5a5-42c5-9fb3-b415aa14ba1e,55555,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055555.jpg
bf6db0fb-543c-4e75-bb09-024c573e435f,8ef174dd-ea64-40d6-a997-61d102f54110,55556,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055556.jpg
5eb0e866-6572-4221-8480-2a22b7d4af5a,460abe7a-f6c2-4281-9d9f-e5ee5d91e2ad,55557,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055557.jpg
f7693a10-04eb-4b63-86f3-549f3e14a918,a6f8cb6a-a246-441a-9752-dba21e10b612,55558,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055558.jpg
4f8b64db-3982-4fbb-b92f-121b2d42ffea,05482680-d218-4a78-831d-fee2b498700a,55560,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055560.jpg
78689f1f-31df-421f-9db0-06f3c44413ef,1d883966-9884-45e2-978e-9c9173391a21,55561,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055561.jpg
15f3f4c1-f1be-488e-a8f1-7f25195f9a76,62526b38-0c30-4eef-94ce-2bbd28dd7ef3,55562,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055562.jpg
3c43c68d-d284-41b4-935b-8b3e5cfb6975,0f30b778-cbe2-4e86-846b-5d8e850c5590,55563,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055563.jpg
ed7438e6-feb9-4997-90ee-fd3bf7a8c1a3,434d3096-9efa-4821-81d7-0c9a75bcd4ff,55564,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055564.jpg
d4394c8e-0ac3-42d0-bf9e-f8bc02f9838f,3623a7b5-89e9-4c6f-9225-442e190d67bd,55565,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055565.jpg
5389bc03-a61b-4c28-9809-3d8a1ab69ba6,e8e371ae-62dc-4d7f-ae77-c8b4bb7ef317,55566,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055566.jpg
9329b3b5-8299-413e-aab0-b834ac7c0bf4,e8936d58-59f3-4181-972f-702c8cced26c,55567,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055567.jpg
37c0db1f-97c2-47ab-8d12-aecc123783ee,1486076e-1092-4c54-85bf-1c1d2a7d48af,55568,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055568.jpg
